ID,Xcor,Ycor
640316,7845,7730
640578,8093,7733
642539,4242,7754
642672,9745,7756
644004,2905,7770
644366,3173,7774
645281,3439,7784
646895,7562,7801
648510,2001,7818
648832,6487,7821
655356,2849,7886
657480,1715,7907
658629,4001,7918
659521,3692,7927
660977,1179,7942
661533,9130,7947
663950,2503,7972
664066,3627,7974
664764,8679,7981
668014,6235,8012
670167,3771,8032
672119,3134,8049
672936,6303,8056
676273,2820,8085
676410,6703,8086
676761,6938,8089
678348,8747,8102
678933,6854,8107
679628,4335,8113
681185,9671,8126
682393,849,8136
683463,5113,8146
684831,5651,8158
685507,4108,8164
688073,3621,8187
695367,2803,8253
700214,8205,8300
701040,6789,8308
702268,6621,8320
703238,2626,8330
703938,5925,8337
704669,8676,8344
708279,2475,8382
711372,1603,8414
713381,2820,8436
718731,4356,8494
720437,6047,8513
721731,6917,8528
723238,2076,8547
724313,3783,8557
724867,3653,8564
727145,2024,8591
727461,4705,8594
729265,5509,8614
733920,3707,8664
740039,5811,8732
739984,1914,8733
743100,8667,8764
744686,5043,8781
748468,4018,8818
753497,7732,8865
754377,6367,8873
757249,7044,8899
760065,7055,8925
760652,4099,8931
761191,6377,8936
761458,3294,8939
763693,6036,8959
766209,2742,8983
766220,4085,8983
770014,8662,9017
776096,3883,9069
776836,7812,9075
787468,7543,9163
787998,2267,9168
788648,6356,9173
789548,7237,9180
792645,4168,9205
796765,2365,9238
799625,4218,9261
803462,7550,9293
805458,1876,9311
807841,2031,9330
814095,6284,9376
814968,4648,9383
818733,3259,9413
819864,1993,9422
821482,6455,9433
823599,2002,9451
834777,4107,9543
837699,6566,9569
839355,6459,9584
841040,7455,9600
843788,7058,9627
853122,5432,9735
855483,7051,9762
857340,6221,9783
857583,5620,9786
860314,4614,9817
864716,6100,9866
868075,5771,9905
869976,4856,9926
875458,5470,9986
881223,3702,10056
881255,5179,10056
883347,3646,10083
885954,7092,10117
887781,6607,10145
888937,3679,10164
894023,5000,10250
894151,7031,10251
899040,3560,10365
